time_betw_scan_hours,CA,YM,Class,dea_eff,cluster efficency - 5 clusters
1376.000,2.938,5.409,1.000,0.520,1.000
1621.000,2.270,6.072,1.000,0.540,1.000
18.000,2.963,6.554,1.000,0.550,1.000
5341.000,2.704,6.696,1.000,0.610,3.000
28.000,2.676,6.443,1.000,0.530,1.000
2590.000,2.689,6.974,1.000,0.700,2.000
2081.000,3.018,5.805,1.000,0.570,3.000
1733.000,2.824,6.393,1.000,0.500,1.000
1673.000,2.718,6.040,1.000,0.540,1.000
5467.000,2.831,5.674,1.000,0.610,3.000
1520.000,2.607,5.957,1.000,0.570,3.000
2601.000,2.679,6.430,1.000,0.620,3.000
1472.000,2.500,7.131,1.000,0.640,3.000
3121.000,2.376,6.251,1.000,0.570,3.000
1338.000,2.591,6.299,1.000,0.560,3.000
1458.000,2.704,5.657,1.000,0.600,3.000
585.000,2.477,6.202,1.000,0.480,1.000
1868.000,2.492,5.838,1.000,0.440,4.000
2342.000,2.465,6.717,1.000,0.570,3.000
4907.000,2.571,6.582,1.000,0.330,4.000
