time_betw_scan_hours,CA,YM,2/1 mM Glu/Lac [mM],1 mM H2O2 [mM],40/25 mM glu/lac høj O2,40/25 mM glu/lac lav O2,Sensitivity [pA/µM],t on 10/5 mM glu/lac [s],Lav O2 - Høj O2,50 mM Mannose,35 mM Glycolsyre,2 mM PAM
4832.000,2.000,6.000,2.020,11.200,40.940,40.430,305.000,5.200,-0.510,13.410,-0.080,-0.060
917.000,3.000,6.687,1.860,11.000,39.820,39.610,363.000,10.600,-0.210,10.490,-0.030,-0.020
8133.000,3.000,6.000,2.070,10.800,40.850,40.380,334.000,6.100,-0.470,12.080,-0.250,-0.050
5672.000,3.000,6.000,2.020,10.100,41.130,40.200,556.000,5.600,-0.930,14.400,-0.070,-0.010
97.000,3.000,6.000,1.980,11.900,41.110,40.560,470.000,4.800,-0.550,12.850,-0.070,-0.010
1955.000,3.000,6.000,2.030,13.300,40.660,39.640,598.000,6.200,-1.020,10.440,-0.100,-0.010
1544.000,3.000,6.000,1.930,10.700,41.280,40.700,527.000,5.200,-0.580,11.680,-0.140,-0.010
5483.000,3.000,6.000,2.040,9.700,40.850,40.640,322.000,5.600,-0.210,12.060,-0.160,0.000
3870.000,3.000,6.000,1.940,10.100,41.020,40.080,694.000,5.600,-0.940,13.790,-0.360,-0.060
1441.000,3.000,7.000,1.990,11.000,40.410,39.800,419.000,5.700,-0.610,10.390,-0.390,-0.090
3349.000,3.000,6.000,2.080,10.900,41.300,39.700,513.000,5.800,-1.600,12.830,-0.100,-0.030
3417.000,2.000,5.000,2.030,10.100,41.780,40.440,693.000,4.700,-1.340,13.490,-0.250,-0.020
899.000,2.000,6.000,2.030,11.100,40.510,40.160,458.000,5.300,-0.350,11.930,-0.220,0.010
21.000,3.000,7.000,1.940,11.800,41.080,40.280,343.000,6.900,-0.800,9.880,-0.560,-0.260
5501.000,2.353,6.599,2.010,11.100,41.120,40.460,303.000,6.700,-0.660,13.380,-0.160,-0.010
107.000,2.690,6.000,1.910,11.000,41.310,40.420,322.000,5.800,-0.890,11.930,-0.370,-0.170
2683.000,2.000,6.221,2.050,9.700,41.060,39.980,699.000,5.100,-1.080,13.040,-0.310,-0.060
1023.000,3.000,7.000,1.990,11.600,40.520,40.070,249.000,7.000,-0.450,12.230,-0.280,-0.190
1866.000,2.000,6.000,1.990,11.900,40.520,40.530,452.000,5.600,0.010,12.870,-0.120,-0.010
6814.000,3.000,6.000,2.030,11.000,40.850,40.070,463.000,6.600,-0.780,12.580,-0.120,-0.010
2656.000,3.000,7.000,2.050,10.100,40.210,38.580,366.000,9.700,-1.630,12.140,-0.320,-0.060
1488.000,2.474,6.000,2.040,10.100,41.090,40.080,557.000,6.900,-1.010,13.410,-0.210,-0.010
1692.000,3.000,6.007,2.100,11.000,41.490,40.770,393.000,5.800,-0.720,13.350,-0.040,-0.150
2942.000,3.000,7.000,2.050,10.800,39.250,37.880,370.000,9.200,-1.370,11.850,-0.360,-0.180
1223.000,2.672,6.000,1.950,10.500,40.740,39.880,427.000,4.900,-0.860,11.610,-0.270,-0.040
1148.000,3.000,7.000,2.090,12.000,41.480,40.830,390.000,6.800,-0.650,9.950,-0.340,-0.070
1397.000,3.000,6.228,2.020,11.400,40.890,40.100,245.000,6.300,-0.790,11.300,-0.230,-0.110
1362.000,3.000,7.000,2.020,12.100,41.490,40.360,496.000,6.000,-1.130,10.650,-0.430,-0.210
1191.000,3.000,6.000,2.010,10.300,41.320,40.640,608.000,5.400,-0.680,11.870,0.040,0.060
1755.000,3.000,5.000,2.170,10.300,39.610,37.450,534.000,5.700,-2.160,13.540,-0.250,-0.100
1032.000,2.620,6.000,2.200,10.200,39.120,37.380,359.000,9.000,-1.740,8.930,-0.440,-0.210
2317.000,3.000,5.905,2.030,9.900,38.950,37.040,780.000,7.000,-1.910,10.560,-0.030,0.020
897.000,3.000,6.000,1.860,9.700,41.370,40.630,716.000,5.200,-0.740,10.790,-0.300,-0.150
1669.000,3.000,7.000,1.960,11.700,40.900,40.380,217.000,7.500,-0.520,10.020,-0.310,-0.070
383.000,2.000,6.000,1.990,10.200,40.300,38.660,522.000,5.300,-1.640,11.290,-0.320,-0.040
16826.000,3.000,6.748,2.050,11.400,41.180,40.270,541.000,6.000,-0.910,11.990,-0.220,-0.030
1454.000,3.000,6.922,1.970,13.600,40.200,39.870,189.000,7.300,-0.330,11.880,-0.620,-0.240
7951.000,3.000,7.000,2.020,10.300,37.200,35.760,399.000,9.100,-1.440,10.590,-0.180,-0.020
1666.000,3.000,6.000,1.990,9.400,40.020,38.610,578.000,4.600,-1.410,11.250,-0.130,-0.040
94.000,3.000,7.000,1.860,11.200,41.250,40.770,255.000,6.000,-0.480,12.400,-0.060,-0.030
2682.000,2.000,6.000,2.000,10.400,40.410,38.160,272.000,10.400,-2.250,15.100,-0.190,-0.030
116.000,3.000,6.000,2.140,9.800,40.570,37.980,469.000,7.000,-2.590,15.670,0.010,0.030
1797.000,3.000,6.000,1.960,11.900,42.030,41.370,500.000,6.100,-0.660,15.310,-0.440,-0.100
1485.000,3.000,6.000,1.910,11.200,40.000,39.680,409.000,5.700,-0.320,11.090,-0.590,-0.080
1902.000,3.000,7.000,1.820,12.400,40.690,40.380,269.000,8.600,-0.310,9.390,-0.040,-0.020
991.000,3.000,6.338,1.990,11.800,41.350,40.420,299.000,6.300,-0.930,10.880,-0.180,-0.020
2010.000,3.000,6.000,2.020,11.000,40.480,40.160,456.000,5.300,-0.320,13.700,-0.130,-0.030
1481.000,3.000,6.000,2.100,10.200,38.460,37.460,732.000,7.200,-1.000,10.110,-0.070,0.010
